region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
L_LIPv_ROI,16346.7506159694,16468.1488814005,16586.5855803562,17396.6860299352,18596.7781355865,19872.740564917,20760.0214141957,21233.1661878014,20985.419133408,20335.2850551504,19630.8069007685,19162.8710143231,19163.5765839491,19110.3178875646,18369.4969354305
L_VIP_ROI,18326.6743587309,18578.1195933846,18559.9035569931,19478.9819174212,20870.9350429219,22491.7233726305,23669.2042377516,24186.4541683862,23730.9024825873,22704.0971227509,21950.8760572486,21608.5259389848,21638.1322741329,21443.6682751126,20576.8230143661
L_MIP_ROI,16647.8108584663,16746.4912204726,16889.8394891295,17584.7114538056,18787.6653245067,20314.9621122133,21427.2398497108,21889.5164197977,21592.0118475023,20855.6061024276,19941.8561977946,19306.2584107072,19118.538918264,18931.0422626699,18041.659090932
L_1_ROI,17360.6544298561,17596.430291791,17542.9476334446,18194.6693438983,19281.5317283632,20510.352000296,21509.8317322223,21787.4330586249,21404.8064709224,20923.7004592726,20458.3110984237,19930.3372090696,19621.9629207415,19804.7695939803,19456.56614261
L_2_ROI,17353.9429183941,17152.2302257927,16942.2595212054,17510.1335913222,18571.1759246428,19769.1221415202,20667.7324983017,21080.2054032894,20843.0183865699,20338.1049480359,19817.1711591748,19327.8468756541,19103.8207542697,19145.8207964736,18522.9754626455
L_3a_ROI,16222.0084498654,17054.3367260842,17518.1661726355,18123.0956399067,18947.5541324397,19873.2998582594,20654.1081067211,21047.3463594715,20689.482281928,19950.4102885232,19083.6826034604,18298.779049926,17735.3487639302,17489.7048358243,16930.8368703383
L_6d_ROI,17057.0719659488,17019.2569321435,16877.073843023,17398.5237308744,18159.4222431037,19095.5346871633,19985.576076025,20412.5104183405,19872.4864342884,19539.7722520311,19608.3121422082,19412.6941235937,18867.8450049401,18232.0973172804,17513.3653199744
L_6mp_ROI,17353.233331918,17427.4781146687,17346.3045995397,17744.0317974633,18454.7870773474,19294.0972650819,20079.811820556,20361.4527564023,19946.7905391122,19491.7271611895,19409.6808787288,19339.9768847865,18994.6816247799,18414.5858417787,17699.5495776115
L_6v_ROI,17437.8506636606,17032.6870900116,16517.4787628746,16742.4267054222,17554.306670059,18684.9679250123,19611.5649394578,19843.8322448527,19591.9039028622,19208.5154626442,18972.10596913,18669.562402722,18383.6145295945,18085.1112784455,17755.7242771175
L_p24pr_ROI,16158.8761803753,15884.4924625515,15677.3172829161,16090.0723067517,16840.1993581159,17814.8949874971,18857.0446787667,19445.940660753,19146.718652741,18608.5039004633,18217.23814136,18152.9116935928,18015.9876940516,17764.6057046417,17123.3832057459
L_33pr_ROI,16319.310567318,16140.6505837596,15462.2404583779,15158.8824622931,15220.5935043562,15774.0956541501,17139.3935949114,18212.8487249255,17638.0107345299,16885.4966661727,16399.9556320737,16254.0586633913,16581.2982765881,16767.2457653187,16257.0400443265
