region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
193,17399.3013621228,17395.7328467413,17181.7327681699,17694.0894230529,18452.2363184029,19412.7155674274,20321.4854308993,20709.368828569,20038.2288683765,19769.7273632984,19911.4951871226,19817.0733535801,19213.2467894019,18475.4703798037,17728.6228949401
194,16137.466766755,15975.5132577924,15910.2205126849,16274.6287641337,16868.9294198388,17305.2771301726,18155.9496433275,19025.3778011175,18696.5951512172,18170.0563162006,17858.9436234763,17938.9265782498,18214.9651362601,18122.8603925369,17392.9001527632
195,15591.3935607863,15122.4244672102,14513.21702752,14450.6095053406,14979.3250013474,15809.5164497845,16794.5537767398,17649.9385828173,17151.6168983874,16433.9818455761,15878.6280235314,15608.4822150498,15561.2352374226,15492.4724748885,15176.3247730555
196,16733.3269167872,16533.7659403697,16453.9139373878,16894.1844754739,17559.2783097257,18328.1684413798,18970.2945217156,19349.8494182588,19186.746667451,18841.2228706845,18518.8447451261,18202.3868406656,17938.7407891289,17432.9106555111,16571.3055952123
197,17310.3583861705,16915.1994095829,16365.2715885318,16476.6469186762,17135.7529376738,18037.6559942689,18742.9777560074,19334.7465056348,19059.0539447711,18753.8694719578,18591.0070818188,18464.1594034874,18348.3022296998,18149.736265533,17781.6058036343
198,17141.0019888035,16971.4241755509,16693.3772975575,17263.8438559414,18289.0901752337,19507.9753678544,20450.6349767131,20861.4142856296,20432.3455544502,19947.9245401434,19471.9438035641,19052.8604684807,18812.36905763,18681.9160735652,18100.8572644726
199,16142.8776794426,15412.9058037888,15085.3663523531,15293.5294288471,15941.9944251147,16725.9392784173,18022.000598604,18597.8107134463,18486.7049279645,18253.2811193712,17971.7106652487,17684.6249933275,17389.8456558785,17006.835108931,16544.889684607
200,16731.4311785841,16661.3143509721,16640.7712211831,17137.366853972,17874.9216563135,18695.8376076856,19486.3671689332,19777.3631768987,19414.848789171,18953.2481554647,18886.380789434,18745.4326943577,18380.4862502509,17782.3547530082,17031.7291116642
201,16897.5696486763,16719.8197454449,16702.385223439,17189.0129243969,18182.161804612,19492.2412912865,20310.4130389446,20869.0857657489,20562.9468616701,19851.9341853135,19108.8264354732,18580.1338885094,18423.5082138159,18308.2707894462,17473.1906815839
202,18279.8373791521,17953.8939886811,17876.3485930028,18511.2355113263,19867.7205626217,21739.9187064593,23237.4226096605,24128.8991310515,23377.6466186157,22314.2532825712,21670.4933665066,21539.7840657557,21375.7659453875,20897.9280999242,20021.1468934959
203,17796.7114666119,17516.3630429843,16909.7423623093,16914.6429392132,17651.1968894956,19037.1565782584,20533.4465474863,21362.292847821,20954.6835182813,20255.455719531,19867.3079708186,19698.6598476382,19685.2707313246,19428.3024534737,18624.1158697783
204,16421.1114845648,15884.1558437072,15401.4723097001,15279.3414514739,15751.4240270272,16382.6261513168,17199.6031182745,17860.9348110465,17727.2098039157,17406.892751961,17080.908036257,16992.7912417579,16984.2614313171,16663.7160130738,16083.3031233227
205,17961.8992152357,17291.15217506,17217.1257443802,18039.5323000416,19550.7346326612,21202.4505298985,22226.1953914087,22594.7328709131,22442.9404958687,21735.2666648488,21088.5854412292,20380.0861282526,20144.9173756493,20155.9296997065,19331.9994956241
206,18982.2699443325,19263.2104249312,19212.7961759173,19648.7152846205,20668.7753231839,22041.4475814639,23079.9335650163,23522.8331577,23176.1567872137,22502.0730793178,21778.5137150064,21366.7436554518,21265.2291443633,21019.3897751492,20330.7264201396
207,17456.8889148711,16864.283565664,16343.4346871965,16429.3414190854,16890.1474469539,17762.1545436529,18546.6120253915,18855.6962711178,18552.4045681391,18190.8911815182,17887.0399891651,17635.5428891467,17351.8189762566,17159.0731317683,16767.7060669594
208,16526.9947198826,16108.2216388693,15894.8460710108,16236.0931110886,17021.5010507277,17968.0462019156,18746.0331080599,19245.3915793562,18795.3282106673,18378.5436990466,17767.2159237705,17413.5304227483,17411.1216985918,17345.4209602272,16645.4191906628
209,17098.9716848175,16530.5147313396,16378.0950834646,16848.1758794536,17501.0981456086,18377.934637278,19328.0829483556,19869.0946179343,19513.4859964453,18999.2101790837,18969.45008425,18639.2623123409,18146.8076302928,17647.0678709735,16969.9328137922
