region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
R_d23ab_ROI,11098.0581664809,14040.2856028244,16240.8116990626,17349.8371778748,17646.1775821809,17874.6673249609,18169.2320258635,18584.6332066052,19033.9645572917,19395.759453186,19784.8256933592,20033.6672141426,19953.3962646368,19610.473997691,19298.1198523462,18860.5598068942
R_31pv_ROI,10996.7253368245,14096.8682448216,16322.0908666171,16935.381005128,16963.5048020469,17206.7615052607,17699.9003106107,18344.5215652647,18910.0366326635,19271.2471960977,19526.5289464582,19584.9908258803,19210.1469622501,18629.9120493645,18244.814596412,17582.3490818717
R_5m_ROI,11818.9983373928,14144.6175791996,16679.6653235908,18816.7587229991,20100.7058050727,20861.7196851356,21560.0889958838,22340.5219321878,23060.7725727903,23637.5197825633,23817.5474888953,23457.4931455787,22614.035890163,21628.8415898127,20690.3384018787,19950.0569474739
R_5mv_ROI,10708.0983516714,13839.8133532993,15932.434936214,16830.6240329324,17129.7441423924,17395.7432083823,17868.7903079654,18529.2712412348,19224.6053599894,19790.564180498,20046.9165984109,19958.7869372384,19594.4225225047,19076.6114849438,18541.8264547532,17821.3221189493
R_23c_ROI,11243.8005456836,14537.3673618542,16537.8312960737,17174.1444641237,17339.3485413149,17555.8851605056,17976.2258791938,18552.8116176672,19086.3968912883,19556.3936005827,19904.0726802348,19969.0730984256,19659.3653050151,19164.9042747925,18748.5916919774,17950.4736949382
R_5L_ROI,9866.16743006012,13014.9893199182,15745.587850451,17396.337628842,18173.1008091408,18696.9899804298,19271.2817837351,20007.9399345491,20729.1417581289,21220.9652341409,21439.9895556236,21235.0912976215,20729.2264340358,20165.1553244171,19714.5588394641,19191.1625205923
R_24dd_ROI,10856.5917563242,14031.9943881218,16506.2947630093,17486.7277065226,17717.171805912,18014.7013844403,18582.4896726353,19256.7989842988,19887.4421758107,20139.7265672418,19965.7487621127,19628.2669690837,19406.4051054001,19145.1245411915,18554.188138652,17770.9276415413
R_24dv_ROI,10863.3822667421,14182.2130378734,16250.9704934305,16669.5472186231,16692.8025202866,16885.6097594454,17338.3390285741,17995.7903041607,18520.6857365115,18859.6509605391,19014.5127601372,18950.6737221472,18660.8654489229,18194.8069529801,17656.3558723125,16864.7489639605
R_7AL_ROI,9353.20155042744,12709.3904684598,15904.9463818533,17362.7001815247,17854.4195242809,18223.6317340093,18997.0422337094,20077.2089873415,21142.9058135368,21981.6621646493,22340.625856217,22214.2267938778,21650.3346920136,20912.6292494003,20455.3191579014,19917.5728223736
R_SCEF_ROI,9359.81511834816,12760.8077711854,15921.5698184308,17210.0116599562,17237.4374715527,17279.0364336224,17630.2413151595,18166.5582678374,18755.3927144831,19129.172637764,19140.9082111836,18937.4674845532,18627.8813478866,18206.4573381774,17788.8708397159,17278.7710407383
