region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
17Networks_RH_VisCent_ExStr_7,10608.3290798946,14372.1133363305,17588.6759747496,19189.9575304859,19990.8346198472,20833.0048268314,21775.8733333032,22529.2120196348,23011.0238342523,23482.0974368613,24016.5961768163,24191.7839796208,23516.0075815808,22095.3794582011,21100.1012048544,20100.3035699511
17Networks_RH_VisCent_ExStr_8,10001.789486761,13540.8866277238,16755.4258609541,18280.8373079252,18689.0636521159,19100.8914543682,20005.3395128001,21357.5493598012,22785.1907559372,23861.6978773009,24227.8385138469,23660.9369113654,22515.5007055121,21478.4984784398,20830.7069668651,19991.8252802292
17Networks_RH_VisCent_ExStr_9,10697.4692669051,14273.8081855701,17368.6531555067,18910.0112738695,19369.6535663815,19756.8202390452,20377.2657430671,21230.8907439466,22204.4395149925,23072.7282298878,23504.0722625954,23141.503076059,21986.9291900267,20625.2265831353,19742.5578291125,18854.9362620333
17Networks_RH_VisCent_ExStr_10,10804.420731287,14274.400300655,17205.9444890449,18406.707669662,18601.2955174781,18995.2674467119,19912.2216562024,21196.8131921013,22557.8989637024,23647.504724229,24006.87322363,23519.5203659265,22615.3985063244,21908.1801091264,21557.6658137902,20828.0051800542
17Networks_RH_VisCent_ExStr_11,10380.1047051698,14059.5927576226,17065.0311330672,18565.1051902547,19173.3408738109,19795.4679054101,20774.1027860381,22006.7457553627,23245.3192666562,24187.4318941463,24543.5736833438,24085.0809220922,23000.020093394,21822.034881076,21052.2955246254,20026.9939807534
17Networks_RH_VisCent_ExStr_12,9914.37704340771,13778.7956582389,16507.4901244549,17585.3848272166,18056.220554592,18704.8051511307,19748.5050890496,21045.357100056,22234.5608140996,23017.3727203207,23119.2129474775,22642.3567300348,21715.6101412448,20812.8483289057,20222.3866795834,19330.9425530325
17Networks_RH_VisPeri_ExStrSup_1,11591.9280256955,14531.4064367365,16947.8014125038,17771.7736201284,17862.7578683523,18118.2566156769,18958.0637019432,20293.9512674645,21827.07844034,23007.8357920724,23274.9112913571,22523.3276819048,21612.3393315234,20888.358483979,20466.424003176,19809.706836798
17Networks_RH_VisPeri_ExStrSup_2,10397.1824814444,11928.0298716239,13240.7705628671,14306.1757227864,15247.3889226303,16088.8945161079,16690.4605550318,17151.9063036893,17568.3682098718,17941.9599228237,18206.6923940982,18368.615043818,18308.3359488398,18203.9443318297,18141.7221501823,17681.8875243806
17Networks_RH_VisPeri_ExStrSup_3,10894.775896266,14374.7138817771,17091.66413926,18583.7487863276,19239.5388927162,19836.7839201776,20690.6882497167,21802.3437568409,23098.0770427693,24344.3466462193,25172.101008919,25160.8224950741,24313.9544251053,23038.7532624588,21923.1836224639,20857.6484976318
17Networks_RH_VisPeri_ExStrSup_4,10603.2636956874,13742.7195360648,16167.9787105891,17493.2673320709,18130.9687319108,18749.4794082642,19591.0357694579,20641.0753413155,21781.0225995622,22661.1551501054,23004.1929530352,22806.5843205318,22281.11421026,21570.9008619431,20823.1144056651,19968.1156896738
17Networks_RH_VisPeri_ExStrSup_5,10768.4450006795,12721.2621214863,14877.4210964197,16127.4616650075,16589.6460862935,16949.2401418388,17480.1346853735,18181.6299688233,18945.4487814987,19595.158081142,19979.2556991065,19841.8828513573,19488.0990474362,19149.0411827947,18827.7686066422,18151.2037230824
17Networks_RH_VisPeri_ExStrSup_6,10637.5000972962,14340.5903343341,17331.1024247763,18909.4263396166,19790.0126773079,20614.2209037852,21418.7324881361,22049.0424395891,22521.4380746804,23037.7511709696,23584.7688723182,23824.2277877481,23270.5759756496,21913.0824696715,20894.9390638373,19986.6012152071
17Networks_RH_VisPeri_ExStrSup_7,9570.98115421993,12915.2868161428,15989.6349871651,17440.4889761925,18000.919124332,18475.6332044405,19123.4360332644,19703.2017261077,20095.1489427359,20480.7496588422,20960.3666644324,21224.2502965579,20921.7950795717,19873.6714855913,18852.4098372476,17987.7246581773
17Networks_RH_VisPeri_ExStrSup_8,10552.1569328637,13605.9368854188,15934.4153651741,17061.5990077841,17713.6208938104,18355.5495667347,19198.1596410126,20194.495692524,21148.4078953444,21806.1505721118,22043.1236837649,21739.305876659,20934.4201690763,19953.5559536409,19175.0268505312,18199.6437082602
17Networks_RH_VisPeri_ExStrSup_9,10157.815622769,13527.8106700973,16322.8081577311,17878.4585317927,18559.7178559192,19124.4133160718,19971.2998341809,21191.5434121524,22553.1050290057,23720.0180032902,24404.30713594,24405.8808642408,23598.7383006246,22483.4892800615,21551.9488400027,20586.9020072336
17Networks_RH_VisPeri_ExStrSup_10,9830.38225768418,13573.198027304,16550.6898653751,17746.2875272349,18219.7493050083,18893.0331974434,19996.8154830432,21282.8136603935,22387.5470969351,23115.9396779336,23307.9135411432,22845.4882901697,21993.5233171461,21028.2780859786,20390.3081962324,19711.4677051614
17Networks_RH_VisPeri_ExStrSup_11,10527.6361935636,14169.366399601,16902.8616609654,18230.3542812678,18889.4411160621,19697.8305609147,20692.3673494041,21839.5351768181,22801.4201307752,23288.8939408935,23357.1709476924,22953.2133657422,22244.3236509659,21477.4119147335,20906.4871411348,20069.0243629073
17Networks_RH_SomMotA_1,11674.7020795599,15062.3415454104,16825.957695842,17522.9130818455,18011.7007137169,18591.6910203152,19272.8961875032,19935.0799238685,20387.9505391873,20652.1067156661,20742.921688052,20500.60729133,20060.5671518919,19537.9810290274,19111.2916123336,18467.4788224333
17Networks_RH_SomMotA_2,9626.03400031154,12735.7818118638,15377.7098697072,16702.9146834715,17234.405112431,17747.1363357164,18456.1931570738,19185.0834414322,19785.0578033688,20077.7206727788,20099.2646652513,19850.7021977278,19289.1855916171,18596.469431844,18101.9764506465,17640.3877882683
17Networks_RH_SomMotA_3,9503.3904149283,12834.4290477164,14773.8371806939,15511.4450655767,15800.5304056619,16125.1739051692,16579.7606668867,17107.477374742,17545.9748124737,17787.5141610979,17893.8342238397,17820.0470529463,17505.6878690423,17104.2568254785,16592.9706066699,15726.9936837041
17Networks_RH_SomMotA_4,9791.94201176381,13212.6993442937,16215.4896285032,17568.5680354282,17962.0463184815,18326.3420844532,18977.5498014322,19836.7627538326,20564.7254367523,21000.1472747656,21039.0823431913,20777.809905572,20251.447236182,19712.1449748296,19489.3270756549,19023.3125205737
17Networks_RH_SomMotA_5,11031.3176335715,14306.7754253307,16622.8709906359,17375.0182669606,17449.2546410422,17708.8241282699,18283.6721832315,18967.6197493443,19571.1146867525,19773.7406198067,19631.3551500653,19351.8446656281,19220.9245285592,18986.9501110947,18464.734648331,17744.7384168308
17Networks_RH_SomMotA_6,8570.3526035144,11806.8229895562,14508.8682681102,16001.1247967341,16762.165043629,17306.4910709691,17835.3558944704,18366.0852145752,18800.7713093248,19031.7285610672,19048.8130065841,18775.242627623,18256.5831608506,17622.127784072,16978.2561786616,16267.9356645617
17Networks_RH_SomMotA_7,10035.1578090252,13311.1582221825,15731.5421809063,17037.9133053163,17830.2915087836,18504.4840921961,19078.8741181399,19527.6781553854,19817.7375743468,19902.346343256,19796.7094448269,19603.2884382139,19193.8986088908,18693.2101776458,18057.0560492656,17289.0149836937
17Networks_RH_SomMotA_8,9262.87815654788,12647.5045174641,15584.7717169793,17069.2439404797,17612.4952423403,18045.4033396492,18818.3169547994,19778.1745826338,20681.3534023231,21245.7935604043,21342.6457805115,21016.496201077,20364.189534087,19725.1869179954,19323.2599110729,18809.9925170383
17Networks_RH_SomMotA_9,9791.99507287331,13025.9604935645,15694.9363720697,16905.7983750925,17238.7280334295,17634.1894054866,18442.0508521356,19549.3835246126,20584.7623908298,21291.4165377194,21468.8925946709,21173.396765558,20524.1708539002,19774.6522818005,19261.7548436855,18650.0186089181
17Networks_RH_SomMotA_10,9809.67200389413,12981.6323946662,15387.1176328333,17044.5130387287,18190.3638938248,19017.7444956092,19668.1039546368,20208.1047281818,20565.2676185509,20671.0256442235,20530.8397023218,20172.9086298932,19623.6339528035,18940.7243073436,18204.5684308324,17305.3117218992
17Networks_RH_SomMotA_11,10743.8968685467,14049.7598801295,16958.1188721678,18283.7180448574,18580.464761995,18782.4047238633,19129.6723351573,19639.8011979923,20133.2423756352,20426.6055969235,20307.4063097182,19904.4056512251,19603.7172975561,19350.7847592113,18782.4856091222,18020.5839732174
17Networks_RH_SomMotA_12,10829.0917937855,14356.8342653396,16537.2264512978,17210.0585302521,17418.6408805141,17692.4476562646,18220.7422136461,18775.7857738065,19163.6514739523,19293.8382729002,19154.8927140299,18959.9387600616,18592.2098983062,18124.7477292136,17575.2310670545,16861.1957792368
17Networks_RH_SomMotA_13,10549.2882108292,13176.0651558672,15746.0532056739,17599.7175390746,18690.961490478,19439.2351149379,20233.7868732289,21143.4903863429,22015.1075497783,22722.3128623791,23094.9014036018,22915.5176703473,22208.1919384855,21291.2607246554,20461.4760031403,19760.0294238114
17Networks_RH_SomMotA_14,10461.6831807915,13453.4002469962,16023.8798350816,17161.9583880615,17719.0560881739,18273.0915072246,18827.0776272748,19414.7088556498,19870.8043208771,20007.4146448909,19877.1461062804,19686.5681523064,19514.2111207085,19163.9888997094,18488.8810439406,17557.2931250562
17Networks_RH_SomMotA_15,8904.01367284127,11693.3171343378,14309.5169261567,16095.3354812538,17198.1859123943,18078.2634368205,18956.4135899348,19810.1316714633,20504.3490966455,20901.7394644637,20841.0616122389,20439.3600891146,19796.8608710558,19041.6877109148,18267.5268396163,17446.9690396424
17Networks_RH_SomMotA_16,9383.65054422758,12776.8765609469,15505.9188063909,17067.035058589,17830.0135808405,18478.7942508403,19254.2319554498,20177.8578679256,20950.2556283484,21378.6825119009,21465.7148358612,21233.900860789,20782.2271910968,20163.7271721871,19669.558847134,19060.4451886326
17Networks_RH_SomMotA_17,10678.672294175,14032.0232957024,16574.7398115338,17417.0098620756,17495.0079356642,17694.9673359687,18167.8944833522,18821.8968414405,19415.795645718,19687.4383747189,19661.160282978,19420.9093103541,19036.9030816799,18595.3886567095,18064.3241526316,17362.8195373997
17Networks_RH_SomMotA_18,13136.6258162944,16101.7181992604,18381.3894594611,19470.2024793763,19939.6364045939,20271.6518527279,20636.6528305637,21048.2010605839,21262.7517415186,21343.9815139787,21165.5510663542,20877.3829876022,20639.8909685265,20250.8722242609,19519.0966486402,18604.7256659212
